Title,Genre,Premiere,Finale,Seasons,Runtime,Language
BoJack Horseman,Black comedy-drama,"August 22, 2014","January 31, 2020","6 seasons, 77 episodes",25-27 min.,English
Neo Yokio,Science fantasy comedy,"September 22, 2017","October 9, 2018","2 seasons, 7 episodes",20-65 min.,English
Super Drags,Superhero-LGBT comedy,"November 9, 2018","November 9, 2018","1 season, 5 episodes",23-26 min.,Portuguese
Tuca & Bertie,Comedy,"May 3, 2019","May 3, 2019","1 season, 10 episodes",25-26 min.,English
Hoops,Sitcom Television comedy,"August 21, 2020","August 21, 2020","1 season, 10 episodes",23-26 min.,English
