Title,Genre,Premiere,Finale,Seasons,Runtime,Notes
Suburra: Blood on Rome,Crime drama,"October 6, 2017","October 30, 2020","3 seasons, 24 episodes",40–53 min.,[89]
Baby,Drama,"November 30, 2018","September 16, 2020","3 seasons, 18 episodes",40–51 min.,[90]
