Title,Genre,Premiere,Finale,Seasons,Runtime
House of Cards,Political drama,"February 1, 2013","November 2, 2018","6 seasons, 73 episodes",42-59 min.
Hemlock Grove,Horror/thriller,"April 19, 2013","October 23, 2015","3 seasons, 33 episodes",45-58 min.
Orange Is the New Black,Comedy-drama,"July 11, 2013","July 26, 2019","7 seasons, 91 episodes",50-92 min.
Marco Polo,Historical drama,"December 12, 2014","July 1, 2016","2 seasons, 20 episodes",48-65 min.
Bloodline,Thriller,"March 20, 2015","May 26, 2017","3 seasons, 33 episodes",48-68 min.
Daredevil,Superhero fiction/Crime drama/legal drama,"April 10, 2015","October 19, 2018","3 seasons, 39 episodes",46-61 min.
Sense8,Science fiction,"June 5, 2015","June 8, 2018","2 seasons, 24 episodes",45-152 min.
Narcos,Crime drama,"August 28, 2015","September 1, 2017","3 seasons, 30 episodes",43-60 min.
Jessica Jones,Superhero fiction/Neo-noir/psychological thriller,"November 20, 2015","June 14, 2019","3 seasons, 39 episodes",44-56 min.
The Get Down,Musical drama,"August 12, 2016","April 7, 2017","2 parts, 11 episodes",50-93 min.
Luke Cage,Superhero fiction/Neo-blaxploitation/neo-western,"September 30, 2016","June 22, 2018","2 seasons, 26 episodes",46-69 min.
The OA,Mystery,"December 16, 2016","March 22, 2019","2 parts, 16 episodes",31-71 min.
A Series of Unfortunate Events,Black comedy mystery,"January 13, 2017","January 1, 2019","3 seasons, 25 episodes",36-64 min.
Iron Fist,Superhero fiction/martial arts,"March 17, 2017","September 7, 2018","2 seasons, 23 episodes",49-61 min.
13 Reasons Why,Teen drama/mystery,"March 31, 2017","June 5, 2020","4 seasons, 49 episodes",49-98 min.
Free Rein,Teen drama,"June 22, 2017","July 6, 2019","3 seasons, 30 episodes",25-34 min.
Gypsy,Psychological thriller,"June 30, 2017","June 30, 2017","1 season, 10 episodes",46-58 min.
Mindhunter,Crime drama,"October 13, 2017","August 16, 2019","2 seasons, 19 episodes",34-73 min.
Greenhouse Academy,Science fiction/teen drama,"September 8, 2017","March 20, 2020","4 seasons, 40 episodes",20-28 min.
The Punisher,Superhero fiction/Crime drama/conspiracy thriller,"November 17, 2017","January 18, 2019","2 seasons, 26 episodes",47-58 min.
Altered Carbon,Science fiction,"February 2, 2018","February 27, 2020","2 seasons, 18 episodes",43-66 min.
Seven Seconds,Crime drama,"February 23, 2018","February 23, 2018","1 season, 10 episodes",54-80 min.
The Ponysitters Club,Drama,"August 10, 2018","November 16, 2018","2 seasons, 20 episodes",23 min.
The Innocents,Supernatural fiction,"August 24, 2018","August 24, 2018","1 season, 8 episodes",46-56 min.
Tidelands,Supernatural crime drama,"December 14, 2018","December 14, 2018","1 season, 8 episodes",36-48 min.
The Order,Supernatural horror drama,"March 7, 2019","June 18, 2020","2 seasons, 20 episodes",42-51 min.
Shadow,Thriller,"March 8, 2019","March 8, 2019","1 season, 8 episodes",40-49 min.
Chambers,Teen psychological thriller,"April 26, 2019","April 26, 2019","1 season, 10 episodes",38-51 min.
The Society,Mystery drama,"May 10, 2019","May 10, 2019","1 season, 10 episodes",49-61 min.
Trinkets,Coming-of-age drama,"June 14, 2019","August 25, 2020","2 seasons, 20 episodes",22-30 min.
Wu Assassins,Supernatural martial arts drama,"August 8, 2019","August 8, 2019","1 season, 10 episodes",40-51 min.
The Dark Crystal: Age of Resistance,Fantasy,"August 30, 2019","August 30, 2019","1 season, 10 episodes",47-61 min.
Dolly Parton's Heartstrings,Anthology series,"November 22, 2019","November 22, 2019","1 season, 8 episodes",57-86 min.
V Wars,Science fiction horror drama,"December 5, 2019","December 5, 2019","1 season, 10 episodes",37-57 min.
Soundtrack,Musical drama,"December 18, 2019","December 18, 2019","1 season, 10 episodes",52-61 min.
Messiah,Thriller,"January 1, 2020","January 1, 2020","1 season, 10 episodes",38-55 min.
Spinning Out,Drama,"January 1, 2020","January 1, 2020","1 season, 10 episodes",44-56 min.
October Faction,Horror,"January 23, 2020","January 23, 2020","1 season, 10 episodes",36-49 min.
Queen Sono,Crime drama,"February 28, 2020","February 28, 2020","1 season, 6 episodes",32-47 min.
White Lines,Drama,"May 15, 2020","May 15, 2020","1 season, 10 episodes",50-63 min.
Away,Science fiction,"September 4, 2020","September 4, 2020","1 season, 10 episodes",44-57 min.
