Title,Genre,Premiere,Finale,Seasons,Runtime
Blazing Transfer Students,Action comedy,"November 10, 2017","November 10, 2017","1 season, 8 episodes",23-28 min.
Jimmy: The True Story of a True Idiot,Comedy,"July 20, 2018","July 20, 2018","1 season, 9 episodes",39-64 min.
Switched,Science fiction,"August 1, 2018","August 1, 2018","1 season, 6 episodes",33-44 min.
The Forest of Love: Deep Cut,Drama,"April 30, 2020",,7 episodes,31-51 min.
