Title,Genre,Premiere,Seasons,Runtime
Schmigadoon![58],Musical comedy,2021[59],"1 season, 8 episodes",TBA
Acapulco[60],Comedy,TBA,TBA,30 min.
The Afterparty[61],Mystery comedy,TBA,"1 season, 8 episodes",TBA
High Desert[62],Comedy,TBA,TBA,30 min.
Mr. Corman[63][64],Comedy-drama,TBA,TBA,30 min.
Physical[65][66],Comedy-drama,TBA,TBA,TBA
Platonic[64],Comedy,TBA,"1 season, 10 episodes",30 min.
The Shrink Next Door[67],Dark comedy miniseries,TBA,8 episodes,TBA
