Title,Genre,Release,Length
Untitled Peanuts Earth Day special,Animation,April 2021,TBA
Untitled Peanuts Mother's Day special,Animation,May 2021,TBA
Untitled Peanuts back to school special,Animation,Late 2021,TBA
Untitled Peanuts New Year's Eve special,Animation,TBA,TBA
