Title,Genre,Release,Runtime
The Elephant Queen,Nature documentary,"November 1, 2019[a]","1 hour, 36 min."
Beastie Boys Story,Documentary,"April 24, 2020",2 hours
Dads,Documentary,"June 19, 2020","1 hour, 21 min."
Boys State,Documentary,"August 14, 2020[a]","1 hour, 49 min."
Bruce Springsteen's Letter to You,Documentary,"October 22, 2020","1 hour, 30 min."
Fireball: Visitors from Darker Worlds,Documentary,"November 13, 2020","1 hour, 37 min."
Awaiting release,Awaiting release,Awaiting release,Awaiting release
Billie Eilish: The World's a Little Blurry,Documentary,"February 26, 2021",TBA
