Title,Genre,Release,Runtime
Hala,Drama,"December 6, 2019","1 hour, 33 min."
The Banker,Drama,"March 20, 2020",2 hours
Greyhound,War,"July 10, 2020","1 hour, 31 min."
On the Rocks,Comedy-drama,"October 23, 2020[a]","1 hour, 36 min."
Wolfwalkers,Animation,"December 11, 2020","1 hour, 42 min."
Awaiting release,Awaiting release,Awaiting release,Awaiting release
Palmer,Drama,"January 29, 2021","1 hour, 50 min."
Cherry,Crime drama,"March 12, 2021","2 hours, 30 min."
