Title,Premiere,Language
Jonas Brothers: Chasing Happiness,"June 4, 2019",English
Andy Murray: Resurfacing,"November 29, 2019",English
Alejandro Sanz: #Lagira de #eldisco,"December 5, 2019",Spanish
Happiness Continues: A Jonas Brothers Concert Film,"April 24, 2020",English
Amaia: Una vuelta al sol,"May 1, 2020",Spanish
Ferro,"November 6, 2020",Italian
